date,p,n
2023-03-16,0.108,
2023-03-23,0.13,
2023-03-30,0.139,
2023-04-06,0.128,
2023-04-13,0.125,
2023-04-20,0.11,
2023-04-27,0.162,
2023-05-04,0.25,
2023-05-11,0.247,
2023-05-18,0.274,
2023-05-25,0.3,
2023-06-01,0.336,
2023-06-08,0.42,
2023-06-15,0.406,
2023-06-22,0.325,
2023-06-29,0.324,
2023-07-06,0.31,
2023-07-13,0.34,
2023-07-20,0.328,
2023-07-27,0.3,
2023-08-03,0.293,
2023-08-10,0.23,
2023-08-17,0.18,
2023-08-24,0.18,
2023-08-31,0.18,
2023-09-07,0.16,
2023-09-14,0.16,
2023-09-21,0.15,
2023-09-28,0.15,
2023-10-05,0.122,
2023-10-12,0.113,
2023-10-19,0.114,
2023-10-26,0.11,
2023-11-02,0.1,
2023-11-09,0.1,
2023-11-16,0.09,
2023-11-23,0.095,
2023-11-30,0.084,
2023-12-07,0.081,
2023-12-14,0.08,
2023-12-21,0.071,
2023-12-28,0.071,
2024-01-04,0.069,
2024-01-11,0.062,
2024-01-18,0.06,
2024-01-25,0.062,
2024-02-01,0.062,
2024-02-08,0.063,
2024-02-15,0.063,
2024-02-22,0.062,
2024-02-29,0.064,
2024-03-07,0.064,
2024-03-14,0.062,
2024-03-21,0.063,
2024-03-28,0.061,
2024-04-04,0.065,
2024-04-11,0.055,
2024-04-18,0.06,
2024-04-25,0.099,
2024-05-02,0.065,
2024-05-09,0.064,
2024-05-16,0.074,
2024-05-23,0.092,
2024-05-30,0.089,
2024-06-06,0.092,
2024-06-13,0.094,
2024-06-20,0.081,
2024-06-27,0.084,
2024-07-04,0.09,
2024-07-11,0.09,
2024-07-18,0.09,
2024-07-25,0.09,
2024-08-01,0.08,
2024-08-08,0.08,
2024-08-15,0.08,
2024-08-22,0.084,
2024-08-29,0.081,
2024-09-05,0.081,
2024-09-12,0.09,
2024-09-19,0.09,
2024-09-26,0.095,
2024-10-03,0.094,
2024-10-10,0.093,
2024-10-17,0.09,
2024-10-24,0.09,
2024-10-31,0.09,
2024-11-07,0.09,
2024-11-14,0.1,
2024-11-21,0.069,
2024-11-28,0.069,
2024-12-05,0.069,
2024-12-12,0.069,
2024-12-19,0.07,
2024-12-26,0.07,
2025-01-02,0.07,
2025-01-09,0.07,
2025-01-16,0.07,
2025-01-23,0.07,
2025-01-30,0.07,
2025-02-06,0.07,
2025-02-13,0.07,
2025-02-20,0.07,
2025-02-27,0.07,
2025-03-06,0.06,
2025-03-13,0.06,
2025-03-20,0.06,
2025-03-27,0.07,
2025-04-03,0.07,
2025-04-10,0.07,
2025-04-17,0.07,
2025-04-24,0.07,
2025-05-01,0.07,
2025-05-08,0.07,
2025-05-15,0.068,
2025-05-22,0.068,
2025-05-29,0.068,
2025-06-05,0.068,
2025-06-12,0.068,
2025-06-19,0.07,
2025-06-26,0.068,
2025-07-03,0.06,
2025-07-10,0.06,
2025-07-17,0.06,
2025-07-24,0.061,
2025-07-31,0.061,
2025-08-07,0.061,
2025-08-14,0.061,
2025-08-21,0.061,
2025-08-28,0.061,
2025-09-04,0.061,
2025-09-11,0.061,
2025-09-18,0.061,
2025-09-25,0.061,
2025-10-02,0.07,
2025-10-09,0.068,
2025-10-16,0.078,
2025-10-23,0.08,
2025-10-30,0.077,
2025-11-06,0.077,
2025-11-13,0.08,
2025-11-20,0.08,
2025-11-27,0.08,
2025-12-04,0.08,
2025-12-11,0.08,
2025-12-18,0.08,
2025-12-25,0.08,
2026-01-01,0.078,
2026-01-08,0.078,
2026-01-15,0.075,
2026-01-22,0.075,
2026-01-29,0.075,
2026-02-05,0.075,
2026-02-12,0.078,
2026-02-19,0.078,
2026-02-26,0.078,
2026-03-05,0.078,
2026-03-12,0.078,
2026-03-19,0.08,
2026-03-26,0.078,
2026-04-02,0.077,
2026-04-09,0.077,
2026-04-16,0.077,
2026-04-23,0.077,
2026-04-30,0.077,
2026-05-07,0.077,
2026-05-14,0.077,
2026-05-21,0.077,
2026-05-28,0.078,
2026-06-04,0.078,
2026-06-11,0.078,
2026-06-18,0.078,
2026-06-25,0.078,
2026-07-02,0.078,
2026-07-09,0.082,
2026-07-16,0.082,
2026-07-23,0.082,
2026-07-30,0.082,
2026-08-06,0.082,
2026-08-13,0.082,
2026-08-20,0.082,
2026-08-27,0.081,
2026-09-03,0.081,
2026-09-10,0.079,
2026-09-17,0.079,
2026-09-24,0.079,479
2026-09-25,0.07945,479
2026-09-26,0.07945,479
